customer_id,age,income,spending_electronics,spending_clothing,spending_groceries,spending_entertainment,spending_health,spending_travel,online_activity_hours,social_media_usage,brand_loyalty_score,purchase_frequency,seasonal_preference,payment_method,region
3001,28,45000,1200,800,600,400,300,1500,25,8,7.2,12,Summer,Credit Card,West
3002,35,62000,2100,1200,800,700,500,2800,18,6,8.1,15,Winter,Debit Card,East
3003,42,78000,3200,1800,1000,900,800,4200,12,4,6.8,18,Spring,Credit Card,North
3004,29,38000,800,600,500,300,200,900,32,12,5.5,8,Summer,Cash,South
3005,55,95000,4500,2200,1200,1100,1000,5800,8,2,9.1,22,Fall,Credit Card,West
3006,23,25000,400,300,400,200,150,500,40,15,4.2,6,Summer,Cash,East
3007,48,72000,2800,1500,900,800,700,3600,15,5,7.8,16,Winter,Credit Card,North
3008,31,54000,1500,900,700,600,400,2200,22,7,6.9,13,Spring,Debit Card,South
3009,39,68000,2600,1400,850,750,650,3400,16,6,7.5,17,Fall,Credit Card,West
3010,26,32000,600,450,450,250,200,800,35,11,4.8,7,Summer,Cash,East
3011,,59000,1800,1000,750,650,450,2400,20,7,7.1,14,Winter,Debit Card,North
3012,44,81000,3500,1900,1100,950,850,4800,10,3,8.5,20,Spring,Credit Card,South
3013,33,47000,1100,700,600,400,300,1400,28,9,5.9,10,Summer,Debit Card,West
3014,50,89000,4200,2100,1150,1000,900,5200,9,3,8.8,21,Fall,Credit Card,East
3015,27,29000,500,350,400,200,180,600,38,13,4.5,6,Summer,Cash,North
3016,36,64000,2200,1300,800,700,550,2900,19,6,7.3,15,Winter,Credit Card,South
3017,41,76000,3100,1700,950,850,750,4100,13,4,8.2,19,Spring,Credit Card,West
3018,30,41000,900,600,550,350,250,1200,30,10,5.2,9,Summer,Debit Card,East
3019,45,84000,3800,2000,1050,900,800,4600,11,3,8.6,20,Fall,Credit Card,North
3020,25,27000,450,320,380,180,160,550,42,14,4.1,5,Summer,Cash,South
3021,52,92000,4600,2300,1200,1050,950,5500,7,2,9.2,23,Winter,Credit Card,West
3022,34,56000,1600,950,700,600,400,2300,24,8,6.7,12,Spring,Debit Card,East
3023,40,70000,2900,1600,900,800,700,3700,14,5,7.9,17,Fall,Credit Card,North
3024,28,35000,700,500,500,300,220,950,33,11,5.1,8,Summer,Cash,South
3025,47,79000,3300,1800,1000,850,750,4300,12,4,8.3,18,Winter,Credit Card,West
3026,32,49000,1300,800,650,450,350,1600,26,9,6.2,11,Spring,Debit Card,East
3027,38,66000,2400,1350,850,750,600,3200,17,6,7.4,16,Fall,Credit Card,North
3028,29,39000,850,550,520,320,240,1100,31,10,5.4,9,Summer,Cash,South
3029,43,82000,3600,1950,1100,900,820,4700,11,3,8.4,19,Winter,Credit Card,West
3030,24,26000,420,300,360,170,150,520,44,15,3.9,5,Summer,Cash,East
3031,49,87000,4100,2150,1150,950,880,5100,9,3,8.7,21,Spring,Credit Card,North
3032,35,58000,1900,1100,750,650,480,2600,21,7,7.0,14,Fall,Debit Card,South
3033,37,65000,2500,1400,850,750,620,3300,16,6,7.6,16,Winter,Credit Card,West
3034,30,42000,950,650,550,380,270,1250,29,10,5.6,9,Summer,Debit Card,East
3035,46,85000,3900,2050,1100,950,850,4900,10,3,8.5,20,Spring,Credit Card,North
3036,26,31000,550,400,420,220,190,750,36,12,4.6,7,Summer,Cash,South
3037,51,90000,4400,2250,1180,1000,920,5400,8,2,9.0,22,Fall,Credit Card,West
3038,33,51000,1400,850,680,480,380,1700,25,8,6.4,12,Winter,Debit Card,East
3039,42,74000,3000,1650,950,820,720,3900,13,4,8.0,18,Spring,Credit Card,North
3040,27,33000,650,480,480,280,210,850,34,11,4.9,7,Summer,Cash,South
3041,53,94000,4700,2400,1220,1080,980,5700,7,2,9.3,24,Winter,Credit Card,West
3042,34,55000,1700,1000,720,620,450,2400,23,8,6.8,13,Spring,Debit Card,East
3043,39,69000,2700,1450,880,780,680,3500,15,5,7.7,17,Fall,Credit Card,North
3044,31,44000,1000,700,580,420,320,1350,27,9,5.7,10,Summer,Debit Card,South
3045,48,86000,4000,2100,1120,980,870,5000,10,3,8.6,21,Winter,Credit Card,West
3046,25,28000,480,350,390,190,170,580,40,13,4.3,6,Summer,Cash,East
3047,44,80000,3700,1980,1050,920,810,4700,11,4,8.4,19,Spring,Credit Card,North
3048,32,46000,1200,750,620,420,340,1500,26,9,6.0,11,Fall,Debit Card,South
3049,41,73000,2800,1550,920,800,690,3800,14,5,7.8,17,Winter,Credit Card,West
3050,28,36000,750,520,510,310,230,950,32,10,5.3,8,Summer,Cash,East
